100

H 5.67403 0.541338 0.739598
H 9.99812 6.62807 6.25882
H 7.7701 1.87717 6.34353
H 0.646479 6.31484 7.16867
H 1.4515 1.52063 2.16778
H 3.89497 3.59111 5.49004
H 8.5583 8.15948 2.44931
H 2.11262 8.6223 9.60494
H 6.31248 0.584726 3.38106
H 2.32335 6.53837 5.40904
H 5.36186 2.53941 5.77617
H 7.81543 7.89563 3.76245
H 4.93416 6.57256 2.41317
H 0.199543 3.88107 5.47895
H 5.64281 0.971015 2.5349
H 0.816685 9.30142 4.06759
H 9.61216 0.103725 8.34653
H 9.3878 8.31785 1.78922
H 8.05031 6.25174 7.31654
H 6.1889 0.838216 5.99139
H 1.50151 5.33192 5.21462
H 3.99032 3.82521 6.78868
H 9.41272 5.07369 7.91872
H 0.638141 7.29609 0.684501
H 3.18038 9.80939 5.38059
H 1.2302 1.95715 4.48405
H 3.14901 2.81534 5.60433
100

H 5.67276 0.543355 0.739757
H 4.11053 2.433 0.455538
H 8.14605 0.0612407 6.40016
H 8.85358 0.357186 5.34386
H 8.91432 3.85598 2.60866
H 4.45975 2.69762 5.27755
H 5.78562 8.35589 5.24756
H 3.82572 4.93627 9.89006
H 3.17071 8.00475 0.650666
H 3.51536 0.259605 5.90801
H 5.55071 0.238662 9.09841
H 7.87833 0.0172512 2.37968
H 1.35323 3.02946 0.484456
H 2.56514 5.15953 6.19095
H 8.02222 6.56822 0.067161
H 2.34205 4.01853 3.69267
H 8.85064 2.56224 7.44829
H 0.978925 4.20074 3.22397
H 7.68194 8.23109 9.67534
H 4.42651 3.49312 8.69115
H 4.4048 4.54711 5.89169
H 2.22287 6.09538 1.41788
H 0.0777958 7.63254 6.55571
H 9.30166 0.303801 3.63453
H 9.96146 9.76672 6.37044
H 0.580889 6.08554 4.39406
H 5.76711 9.70755 7.79566
H 7.33678 1.28193 1.18028
H 4.85238 2.6489 7.99547
H 0.633322 3.74951 8.53388
H 5.67202 2.35639 0.884763
H 3.47038 3.91464 3.57838
H 3.20873 1.67041 8.9224
H 4.69334 0.0562604 1.38539
H 9.83217 8.89112 5.8214
H 9.69624 3.98362 8.33966
H 3.58318 6.99107 0.823546
H 4.58139 4.3666 2.97395
H 2.4153 2.59667 0.65496
H 3.38134 0.868789 3.4375
H 3.58728 6.36289 9.18079
H 6.13255 4.91551 9.62784
H 0.4896 7.8176 5.61895
H 2.61956 0.00769249 1.66229
H 1.28262 8.79682 3.01543
H 4.52552 3.10239 3.13021
H 0.548351 9.31777 1.59427
H 7.34044 6.71687 8.20251
H 4.00318 5.24978 5.19038
H 3.04468 4.26336 8.05876
H 2.44966 2.65352 1.90958
H 4.74072 5.91797 2.7226
H 4.40868 5.26871 4.12054
H 5.96598 6.22448 8.83544
H 8.5796 1.24437 6.80006
H 9.209 8.16329 3.6567
H 6.65759 8.20316 3.15373
H 8.51785 2.31696 5.45333
H 1.91219 7.50362 5.44447
H 6.7524 6.60443 7.12151
H 4.34697 0.0785254 9.97748
H 7.77813 3.1882 6.99868
H 7.20931 5.64581 5.29963
H 6.40941 1.5155 0.609565
H 8.55004 5.33195 4.96778
H 7.93224 4.53986 1.64534
H 8.07103 2.84684 8.0955
H 2.08074 0.355354 3.64063
H 4.91909 1.82233 0.296153
H 7.63468 5.81667 1.54307
H 1.20844 9.50098 5.8125
H 2.15666 8.26108 6.20398
H 7.96721 5.22704 7.11484
H 4.52953 3.74148 1.7482
H 9.96479 6.64133 6.21103
H 7.77123 1.87739 6.34341
H 0.679676 6.29884 7.2152
H 1.45184 1.52083 2.16774
H 3.8957 3.59448 5.49105
H 8.55785 8.15905 2.45107
H 2.1128 8.62217 9.60516
H 6.31229 0.584851 3.38069
H 2.32487 6.53347 5.40898
H 5.36668 2.53857 5.77894
H 9.89185 3.25879 9.3595
H 4.93412 6.57253 2.41316
H 0.199549 3.88109 5.47885
